Question Code,Subject,Topic,Group Code,Passage Text,Passage Image,Question Text,Question Image,Question Type,Option A Text,Option A Image,Option B Text,Option B Image,Option C Text,Option C Image,Option D Text,Option D Image,Option E Text,Option E Image,Correct Option,Explanation,Mode,Active,Difficulty,Marks,Negative Marks,Scoring Rule,Shuffle Options,Ready For Import,Notes
LR-OBJ-001,Logical Reasoning,Truth and Arrangement,,,,"Saira, Mumtaz and Zeenat have a ball, a pen and a pencil, and each girl has just one object in hand. Among the following statements, only one is true and the other two are false.
I. Saira has a ball.
II. Mumtaz does not have the ball.
III. Zeenat does not have the pen.
Who has the ball?",,single,Saira,,Mumtaz,,Zeenat,,Cannot be determined,,,,B,"If Saira has the ball, statements I and II become true. If Zeenat has the ball, statements II and III become true. Only Mumtaz having the ball makes exactly one statement true.",demo,1,medium,1,0,exact_match,No,Yes,
LR-ORDER-056,Logical Reasoning,Ordering and Inequality,,,,"Albert, David, Jerome and Tommy were plucking mangoes. Their earnings were directly related to the number of mangoes plucked. Jerome got less money than Tommy. Jerome and Tommy together got the same amount as Albert and David together. Albert and Tommy together got less than David and Jerome together. Who earned the most pocket money? Who plucked the least number of mangoes?",,single,"David, Jerome",,"David, Albert",,"Jerome, Tommy",,"Jerome, Albert",,,,B,"Let earnings be A, D, J, T. Given J < T and J + T = A + D. From A + T < D + J and D = J + T - A, we get A < J. Therefore A < J < T and D > T, so David earned most and Albert least.",demo,1,hard,1,0,exact_match,No,Yes,
LR-MULTI-057,Logical Reasoning,Number Classification,,,,Which of the following numbers are prime numbers? Select all correct options.,,multi,2,,3,,9,,11,,,,"A,B,D","The numbers 2, 3, and 11 have exactly two positive factors. The number 9 is composite.",demo,1,medium,3,1,partial_credit,Yes,Yes,"Partial-credit example: A,B,D earns 3 marks; selecting only A,B earns 2 marks; selecting any incorrect option such as C earns -1 mark."
IMG-SAMPLE-001,Logical Reasoning,Visual Classification,,,,The reference image shows the target color. Which option matches it?,sample-color-guide.png,single,Blue,blue-option.png,Red,red-option.png,Green,green-option.png,Yellow,yellow-option.png,,,A,The reference image and option A both show blue.,demo,1,easy,1,0,exact_match,Yes,Yes,Ready image example. Upload question_bank_sample_images.zip with the CSV; filenames may be inside any safe folders in the ZIP.
PASS-SOLAR-001-01,Logical Reasoning,Passage Analysis,PASS-SOLAR-001,"A school installed rooftop solar panels to reduce its electricity use. In April the panels generated 1,200 units of electricity, while the school consumed 1,500 units. In May generation increased by 25 percent from April, and consumption remained unchanged. Any generation beyond consumption is exported to the electricity grid.",,How many electricity units did the school obtain from the grid in April?,,single,200 units,,300 units,,500 units,,"1,200 units",,,,B,"April consumption exceeded solar generation by 1,500 - 1,200 = 300 units.",assessment,1,easy,1,0,exact_match,Yes,Yes,Ready paragraph group. Keep all PASS-SOLAR-001 rows consecutive.
PASS-SOLAR-001-02,Logical Reasoning,Passage Analysis,PASS-SOLAR-001,"A school installed rooftop solar panels to reduce its electricity use. In April the panels generated 1,200 units of electricity, while the school consumed 1,500 units. In May generation increased by 25 percent from April, and consumption remained unchanged. Any generation beyond consumption is exported to the electricity grid.",,How many electricity units did the panels generate in May?,,single,"1,200 units",,"1,350 units",,"1,500 units",,"1,800 units",,,,C,"A 25 percent increase on 1,200 units is 300 units, giving 1,500 units.",assessment,1,easy,1,0,exact_match,Yes,Yes,Ready paragraph group. Excel row order becomes protected group sequence.
PASS-SOLAR-001-03,Logical Reasoning,Passage Analysis,PASS-SOLAR-001,"A school installed rooftop solar panels to reduce its electricity use. In April the panels generated 1,200 units of electricity, while the school consumed 1,500 units. In May generation increased by 25 percent from April, and consumption remained unchanged. Any generation beyond consumption is exported to the electricity grid.",,Which statements are correct for May? Select all correct options.,,multi,Solar generation equalled consumption.,,The school imported 300 units from the grid.,,No electricity was exported to the grid.,,Generation was 25 percent higher than in April.,,,,"A,C,D","May generation was 1,500 units, equal to consumption, so there was no import or export.",assessment,1,medium,3,1,partial_credit,Yes,Yes,Ready multi-select member of the protected paragraph group.
DI-RAIL-061,Logical Reasoning,Data Interpretation,DI-RAILWAY-COST-001,"The table/image below shows the estimated cost, in Rs. lakh, of a project for laying a railway line between two places. Keep the same passage/table reference repeated for every sub-question in this set.",railway-cost-estimate-table.png,The total expenditure is required to be kept within Rs. 700 lakh by cutting the expenditure on administration equally in all the years. What will be the percentage cut for 1989?,,single,22.6,,32.6,,42.5,,52.6,,,,TBD,Fill after checking the railway cost table.,assessment,1,medium,1,0,exact_match,No,No,Grouped DI question. Keep the same Group Code and keep all group rows consecutive. Their Excel row order becomes the protected sequence. Correct option is marked TBD because the source table values were not included in the pasted text.
DI-RAIL-062,Logical Reasoning,Data Interpretation,DI-RAILWAY-COST-001,"The table/image below shows the estimated cost, in Rs. lakh, of a project for laying a railway line between two places. Keep the same passage/table reference repeated for every sub-question in this set.",railway-cost-estimate-table.png,"If the length of the line to be laid each year is proportional to the estimated cost for cement, steel, bricks, building material and labour, what fraction of the total length is proposed to be completed by the third year?",,single,0.9,,0.7,,0.6,,0.3,,,,TBD,Fill after checking the railway cost table.,assessment,1,medium,1,0,exact_match,No,No,Grouped DI question. Keep the same Group Code and keep all group rows consecutive. Their Excel row order becomes the protected sequence. Correct option is marked TBD because the source table values were not included in the pasted text.
DI-RAIL-063,Logical Reasoning,Data Interpretation,DI-RAILWAY-COST-001,"The table/image below shows the estimated cost, in Rs. lakh, of a project for laying a railway line between two places. Keep the same passage/table reference repeated for every sub-question in this set.",railway-cost-estimate-table.png,"What is the approximate ratio of the total cost of materials (cement, steel, bricks, building materials) for all the years to the total labour cost?",,single,4 : 1,,8 : 1,,12 : 1,,16 : 1,,,,TBD,Fill after checking the railway cost table.,assessment,1,medium,1,0,exact_match,No,No,Grouped DI question. Keep the same Group Code and keep all group rows consecutive. Their Excel row order becomes the protected sequence. Correct option is marked TBD because the source table values were not included in the pasted text.
DI-RAIL-064,Logical Reasoning,Data Interpretation,DI-RAILWAY-COST-001,"The table/image below shows the estimated cost, in Rs. lakh, of a project for laying a railway line between two places. Keep the same passage/table reference repeated for every sub-question in this set.",railway-cost-estimate-table.png,"If the cost of materials (cement, steel, bricks, building materials) rises by 5% each year from 1990 onwards, by how much will the estimated cost rise for the years 1990 and 1991?",,single,Rs. 11.45 lakh,,Rs. 16.35 lakh,,Rs. 21.45 lakh,,Rs. 26.45 lakh,,,,TBD,Fill after checking the railway cost table.,assessment,1,medium,1,0,exact_match,No,No,Grouped DI question. Keep the same Group Code and keep all group rows consecutive. Their Excel row order becomes the protected sequence. Correct option is marked TBD because the source table values were not included in the pasted text.
DI-RAIL-065,Logical Reasoning,Data Interpretation,DI-RAILWAY-COST-001,"The table/image below shows the estimated cost, in Rs. lakh, of a project for laying a railway line between two places. Keep the same passage/table reference repeated for every sub-question in this set.",railway-cost-estimate-table.png,"It is found at the end of 1990 that the entire amount estimated for the project has been spent. If for 1991, the actual amount spent was equal to that which was estimated, by what percent (approximately) has the actual expenditure exceeded the estimated expenditure?",,single,39,,29,,19,,9,,,,TBD,Fill after checking the railway cost table.,assessment,1,medium,1,0,exact_match,No,No,Grouped DI question. Keep the same Group Code and keep all group rows consecutive. Their Excel row order becomes the protected sequence. Correct option is marked TBD because the source table values were not included in the pasted text.
DI-RAIL-066,Logical Reasoning,Data Interpretation,DI-RAILWAY-COST-001,"The table/image below shows the estimated cost, in Rs. lakh, of a project for laying a railway line between two places. Keep the same passage/table reference repeated for every sub-question in this set.",railway-cost-estimate-table.png,"After preparing the estimate, the provision for contingencies is felt inadequate and is therefore doubled. By what percent does the total estimate increase?",,single,3.47,,2.45,,1.50,,3.62,,,,TBD,Fill after checking the railway cost table.,assessment,1,medium,1,0,exact_match,No,No,Grouped DI question. Keep the same Group Code and keep all group rows consecutive. Their Excel row order becomes the protected sequence. Correct option is marked TBD because the source table values were not included in the pasted text.
