Subject,Topic,Question Text,Question Type,Option A,Option B,Option C,Option D,Correct Option,Explanation,Mode,Active
Mathematics,Algebra,Solve for x: x + 7 = 15.,single,6,7,8,9,C,Subtract 7 from both sides to get x = 8.,demo,1
Mathematics,Algebra,Which expressions are equivalent to 3(x + 2)?,multi,3x + 6,3x + 2,6 + 3x,x + 6,"A,C",Distribute 3 across x and 2 to get 3x + 6.,demo,1
Mathematics,Algebra,"If 5a = 35, what is a?",single,5,6,7,8,C,Divide both sides by 5 to get a = 7.,assessment,1
Mathematics,Algebra,Which equations have x = 4 as a solution?,multi,x + 3 = 7,2x = 8,x^2 = 12,10 - x = 6,"A,B,D",Substitute x = 4 and check which equations remain true.,assessment,1
Mathematics,Algebra,Simplify 4y - y + 2y.,single,3y,5y,6y,7y,B,Combine like terms: 4y - y + 2y = 5y.,assessment,1
Mathematics,Algebra,Which are linear equations?,multi,y = 2x + 1,x^2 + 1 = 5,3x - 2 = 10,xy = 6,"A,C",Linear equations have variables only to the first power and no variable products.,assessment,1
Mathematics,Algebra,"If p / 3 = 6, what is p?",single,2,9,18,21,C,Multiply both sides by 3 to get p = 18.,assessment,1
Mathematics,Algebra,Which pairs are like terms?,multi,3a and 5a,2x and 2y,7mn and mn,x^2 and x,"A,C",Like terms have the same variables raised to the same powers.,assessment,1
Mathematics,Algebra,What is the value of 2^3 + 4?,single,10,11,12,14,C,"2^3 = 8, and 8 + 4 = 12.",assessment,1
Mathematics,Algebra,Expand (x + 5) + (x + 2).,single,x + 7,2x + 7,2x + 10,x^2 + 7,B,Combine x + x and 5 + 2 to get 2x + 7.,assessment,1
Mathematics,Geometry,What is the sum of the interior angles of a triangle?,single,90 degrees,120 degrees,180 degrees,360 degrees,C,The interior angles of any triangle sum to 180 degrees.,demo,1
Mathematics,Geometry,Which shapes always have all sides equal?,multi,Square,Equilateral triangle,Rhombus,Rectangle,"A,B,C",Each listed correct shape has all sides equal by definition.,demo,1
Mathematics,Geometry,What is the perimeter of a square with side length 6 cm?,single,12 cm,18 cm,24 cm,36 cm,C,Perimeter of a square is 4 x side = 4 x 6 = 24 cm.,assessment,1
Mathematics,Geometry,Which shapes have at least one pair of parallel sides?,multi,Rectangle,Trapezium,Triangle,Parallelogram,"A,B,D",These shapes include at least one pair of parallel sides.,assessment,1
Mathematics,Geometry,What is the area of a rectangle of length 8 cm and width 5 cm?,single,13 sq cm,26 sq cm,40 sq cm,80 sq cm,C,Area = length x width = 8 x 5 = 40 sq cm.,assessment,1
Mathematics,Geometry,Which descriptions represent a right angle?,multi,90 degrees,A quarter turn,Angle made by perpendicular lines,180 degrees,"A,B,C","A right angle is 90 degrees, or one quarter of a full turn.",assessment,1
Mathematics,Geometry,What is the diameter of a circle with radius 7 cm?,single,7 cm,14 cm,21 cm,49 cm,B,"Diameter is twice the radius, so 2 x 7 = 14 cm.",assessment,1
Mathematics,Geometry,Which solids have a curved surface?,multi,Sphere,Cylinder,Cube,Cone,"A,B,D",A cube has only flat faces; the others include curved surfaces.,assessment,1
Mathematics,Geometry,How many diagonals does a rectangle have?,single,1,2,3,4,B,A rectangle has two diagonals connecting opposite vertices.,assessment,1
Mathematics,Geometry,Complementary angles add up to what measure?,single,45 degrees,90 degrees,180 degrees,360 degrees,B,Complementary angles add up to 90 degrees.,assessment,1
Physics,Mechanics,What is the SI unit of force?,single,Joule,Newton,Watt,Pascal,B,Force is measured in newtons.,demo,1
Physics,Mechanics,Which are scalar quantities?,multi,Mass,Speed,Work,Velocity,"A,B,C",Scalars have magnitude only; velocity also has direction.,demo,1
Physics,Mechanics,A velocity changes by 10 m/s in 5 s. What is the acceleration?,single,1 m/s^2,2 m/s^2,5 m/s^2,50 m/s^2,B,Acceleration = change in velocity / time = 10 / 5 = 2 m/s^2.,assessment,1
Physics,Mechanics,A force can change which properties of an object?,multi,Speed,Direction,Shape,Color,"A,B,C","Forces can change motion or shape, not color directly.",assessment,1
Physics,Mechanics,A runner covers 100 m in 20 s. What is the speed?,single,2 m/s,4 m/s,5 m/s,10 m/s,C,Speed = distance / time = 100 / 20 = 5 m/s.,assessment,1
Physics,Mechanics,Which are vector quantities?,multi,Displacement,Velocity,Force,Mass,"A,B,C",Vectors have magnitude and direction; mass is scalar.,assessment,1
Physics,Mechanics,What is the SI unit of energy?,single,Newton,Joule,Ampere,Volt,B,Energy is measured in joules.,assessment,1
Physics,Mechanics,Which are examples of simple machines?,multi,Lever,Pulley,Inclined plane,Battery,"A,B,C","Lever, pulley, and inclined plane are simple machines.",assessment,1
Physics,Mechanics,Friction generally acts in which way?,single,In the direction of motion,Opposite relative motion,Only upward,Only downward,B,Friction opposes relative motion between surfaces.,assessment,1
Physics,Mechanics,Momentum is calculated as which product?,single,Mass x velocity,Force x distance,Power x time,Pressure x area,A,Momentum equals mass multiplied by velocity.,assessment,1
Physics,Electricity,What is the SI unit of electric current?,single,Volt,Ampere,Ohm,Watt,B,Electric current is measured in amperes.,demo,1
Physics,Electricity,Which materials are good electrical conductors?,multi,Copper,Aluminium,Iron,Plastic,"A,B,C",Most metals conduct electricity well; plastic is an insulator.,demo,1
Physics,Electricity,Which instrument measures potential difference?,single,Ammeter,Voltmeter,Thermometer,Barometer,B,Potential difference is measured using a voltmeter.,assessment,1
Physics,Electricity,Which are common circuit components?,multi,Switch,Resistor,Cell,Ruler,"A,B,C","Switches, resistors, and cells are electrical circuit components.",assessment,1
Physics,Electricity,Ohm's law is represented by which equation?,single,V = IR,P = IV,F = ma,Q = mcT,A,Ohm's law states V = IR.,assessment,1
Physics,Electricity,Which materials are electrical insulators?,multi,Rubber,Glass,Plastic,Copper,"A,B,C","Rubber, glass, and plastic resist electric current.",assessment,1
Physics,Electricity,"If current is 2 A and resistance is 5 ohms, what is the voltage?",single,2 V,5 V,7 V,10 V,D,"Using V = IR, V = 2 x 5 = 10 V.",assessment,1
Physics,Electricity,Which improve electrical safety?,multi,Fuse,Earthing,MCB,Touching switches with wet hands,"A,B,C","Fuse, earthing, and MCB reduce electrical hazards.",assessment,1
Physics,Electricity,What is the SI unit of resistance?,single,Ohm,Volt,Ampere,Coulomb,A,Electrical resistance is measured in ohms.,assessment,1
Physics,Electricity,"In a series circuit, which quantity is the same through each component?",single,Voltage,Current,Resistance,Power,B,Current is the same through components connected in series.,assessment,1
Chemistry,Atomic Structure,What is the charge of a proton?,single,Positive,Negative,Neutral,Variable,A,A proton has a positive charge.,demo,1
Chemistry,Atomic Structure,Which particles are found in atoms?,multi,Proton,Neutron,Electron,Photon,"A,B,C","Atoms contain protons, neutrons, and electrons.",demo,1
Chemistry,Atomic Structure,Atomic number is equal to the number of which particle?,single,Neutrons,Protons,Electrons plus neutrons,Nucleons,B,Atomic number is the number of protons.,assessment,1
Chemistry,Atomic Structure,Which are located in the nucleus of an atom?,multi,Protons,Neutrons,Electrons,Nucleons,"A,B,D","The nucleus contains protons and neutrons, collectively called nucleons.",assessment,1
Chemistry,Atomic Structure,"In a neutral atom, electrons are equal in number to which particles?",single,Neutrons,Protons,Nucleons,Ions,B,A neutral atom has equal protons and electrons.,assessment,1
Chemistry,Atomic Structure,Which statements describe isotopes of an element?,multi,Same atomic number,Same number of protons,Different number of neutrons,Different mass number,"A,B,C,D",Isotopes have the same protons but different neutrons and mass numbers.,assessment,1
Chemistry,Atomic Structure,What is the charge of an electron?,single,Positive,Negative,Neutral,No charge,B,An electron has a negative charge.,assessment,1
Chemistry,Atomic Structure,Which statements are true about electrons?,multi,They have negative charge,They are outside the nucleus,They have very small mass,They determine atomic number,"A,B,C","Atomic number is determined by protons, not electrons.",assessment,1
Chemistry,Atomic Structure,Mass number is the total number of which particles?,single,Protons and electrons,Protons and neutrons,Neutrons and electrons,Only protons,B,Mass number equals protons plus neutrons.,assessment,1
Chemistry,Atomic Structure,Valence electrons are located where?,single,In the nucleus,In the outermost shell,Only in metals,Between protons,B,Valence electrons are electrons in the outermost shell.,assessment,1
Chemistry,Chemical Reactions,Rusting of iron is an example of which process?,single,Oxidation,Neutralization,Sublimation,Filtration,A,Rusting occurs when iron is oxidized.,demo,1
Chemistry,Chemical Reactions,Which observations may indicate a chemical reaction?,multi,Gas evolution,Color change,Temperature change,Paper folding,"A,B,C","Gas, color, and temperature changes can indicate chemical change.",demo,1
Chemistry,Chemical Reactions,Acid plus base generally produces what?,single,Salt and water,Metal and oxygen,Sugar and salt,Only gas,A,Acid-base neutralization produces salt and water.,assessment,1
Chemistry,Chemical Reactions,Balanced chemical equations conserve which quantities?,multi,Atoms,Mass,Charge in ionic equations,Font size,"A,B,C","Balanced equations conserve atoms, mass, and charge where applicable.",assessment,1
Chemistry,Chemical Reactions,What gas is released by many reactions of acids with carbonates?,single,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,C,Acids react with carbonates to release carbon dioxide.,assessment,1
Chemistry,Chemical Reactions,Which are common types of chemical reactions?,multi,Combination,Decomposition,Displacement,Evaporation,"A,B,C","Evaporation is a physical process, not a reaction type.",assessment,1
Chemistry,Chemical Reactions,What does a catalyst do in a reaction?,single,Stops all reaction,Changes reaction rate,Becomes the only product,Removes atoms,B,A catalyst changes reaction rate without being consumed.,assessment,1
Chemistry,Chemical Reactions,Which are signs of an exothermic reaction?,multi,Heat is released,Surroundings become warmer,Energy goes to surroundings,Heat is absorbed,"A,B,C",Exothermic reactions release energy to surroundings.,assessment,1
Chemistry,Chemical Reactions,A solution with pH below 7 is generally what?,single,Acidic,Neutral,Basic,Metallic,A,Acids have pH values below 7.,assessment,1
Chemistry,Chemical Reactions,A precipitate is best described as what?,single,A soluble gas,An insoluble solid,A pure liquid,An invisible ion,B,A precipitate is an insoluble solid formed in a reaction.,assessment,1
Biology,Cell Biology,Which organelle is called the powerhouse of the cell?,single,Nucleus,Mitochondria,Ribosome,Golgi body,B,Mitochondria release energy for cellular activities.,demo,1
Biology,Cell Biology,Which structures are commonly found in plant cells?,multi,Cell wall,Chloroplast,Large central vacuole,Centriole,"A,B,C","Plant cells commonly have a cell wall, chloroplasts, and a large vacuole.",demo,1
Biology,Cell Biology,Which organelle controls most cell activities?,single,Nucleus,Ribosome,Lysosome,Cell wall,A,The nucleus contains genetic material and controls cell activities.,assessment,1
Biology,Cell Biology,Which organelles are membrane-bound?,multi,Nucleus,Mitochondria,Chloroplast,Ribosome,"A,B,C",Ribosomes are not membrane-bound organelles.,assessment,1
Biology,Cell Biology,What is the basic structural and functional unit of life?,single,Tissue,Organ,Cell,Organ system,C,The cell is the basic unit of life.,assessment,1
Biology,Cell Biology,Which are found in animal cells?,multi,Nucleus,Cell membrane,Mitochondria,Chloroplast,"A,B,C",Animal cells do not normally contain chloroplasts.,assessment,1
Biology,Cell Biology,Which organelles are the site of protein synthesis?,single,Ribosomes,Nucleus,Vacuoles,Centrioles,A,Ribosomes synthesize proteins.,assessment,1
Biology,Cell Biology,Which features help distinguish plant cells from animal cells?,multi,Cell wall,Chloroplast,Large central vacuole,Plasma membrane,"A,B,C",Both plant and animal cells have a plasma membrane.,assessment,1
Biology,Cell Biology,Which structure forms a selectively permeable boundary around the cell?,single,Cell membrane,Nucleus,Ribosome,Vacuole,A,The cell membrane controls movement into and out of the cell.,assessment,1
Biology,Cell Biology,Cytoplasm is best described as what?,single,Jelly-like material inside the cell,Outer hard wall only,Genetic code only,A blood pigment,A,Cytoplasm is the jelly-like material where many cell activities occur.,assessment,1
Biology,Human Physiology,Which organs are mainly responsible for gas exchange?,single,Lungs,Kidneys,Stomach,Liver,A,The lungs exchange oxygen and carbon dioxide.,demo,1
Biology,Human Physiology,Which organs are part of the digestive system?,multi,Stomach,Small intestine,Liver,Heart,"A,B,C",The heart belongs to the circulatory system.,demo,1
Biology,Human Physiology,What is the main function of the heart?,single,Pump blood,Digest food,Filter urine,Produce bile,A,The heart pumps blood throughout the body.,assessment,1
Biology,Human Physiology,Which organs help remove wastes from the body?,multi,Kidneys,Skin,Lungs,Eyes,"A,B,C","Kidneys, skin, and lungs all help remove waste products.",assessment,1
Biology,Human Physiology,Which blood pigment carries oxygen?,single,Hemoglobin,Insulin,Keratin,Melanin,A,Hemoglobin in red blood cells carries oxygen.,assessment,1
Biology,Human Physiology,Which are components of blood?,multi,Red blood cells,White blood cells,Platelets,Plasma,"A,B,C,D","Blood contains cells, platelets, and plasma.",assessment,1
Biology,Human Physiology,What is the basic cell of the nervous system?,single,Neuron,Nephron,Alveolus,Villus,A,Neurons transmit nerve impulses.,assessment,1
Biology,Human Physiology,Which structures are part of the respiratory pathway?,multi,Nose,Trachea,Bronchi,Lungs,"A,B,C,D",Air passes through these structures during respiration.,assessment,1
Biology,Human Physiology,Which hormone helps regulate blood sugar?,single,Insulin,Adrenaline,Thyroxine,Estrogen,A,Insulin helps lower and regulate blood glucose levels.,assessment,1
Biology,Human Physiology,Where are most digested nutrients absorbed?,single,Small intestine,Large intestine,Stomach,Esophagus,A,The small intestine is the main site of nutrient absorption.,assessment,1
Logical Reasoning,Number Series,"What comes next in the series: 2, 4, 6, 8, ?",single,9,10,12,14,B,The series increases by 2 each time.,demo,1
Logical Reasoning,Number Series,Which are arithmetic sequences?,multi,"3, 6, 9","5, 10, 15","2, 4, 8","11, 14, 17","A,B,D",Arithmetic sequences have a constant difference.,demo,1
Logical Reasoning,Number Series,"What comes next in the series: 1, 4, 9, 16, ?",single,20,24,25,36,C,"The terms are square numbers: 1, 4, 9, 16, 25.",assessment,1
Logical Reasoning,Number Series,Which numbers are even?,multi,12,18,21,30,"A,B,D",Even numbers are divisible by 2.,assessment,1
Logical Reasoning,Number Series,"What comes next: 5, 10, 20, 40, ?",single,45,60,80,100,C,Each term is doubled.,assessment,1
Logical Reasoning,Number Series,Which numbers are multiples of 3?,multi,9,15,22,27,"A,B,D",Multiples of 3 divide exactly by 3.,assessment,1
Logical Reasoning,Number Series,"What comes next: 100, 90, 80, ?",single,60,70,75,85,B,The series decreases by 10.,assessment,1
Logical Reasoning,Number Series,Which numbers are prime?,multi,2,3,9,11,"A,B,D",Prime numbers have exactly two factors.,assessment,1
Logical Reasoning,Number Series,"What comes next in the series: 1, 1, 2, 3, 5, ?",single,6,7,8,9,C,This is the Fibonacci pattern; 3 + 5 = 8.,assessment,1
Logical Reasoning,Number Series,"Which number is the odd one out: 7, 14, 21, 29?",single,7,14,21,29,D,29 is not a multiple of 7.,assessment,1
Logical Reasoning,Verbal Reasoning,Which word is closest in meaning to happy?,single,Angry,Joyful,Tired,Silent,B,Joyful is a synonym of happy.,demo,1
Logical Reasoning,Verbal Reasoning,Which words mean quick?,multi,Rapid,Fast,Slow,Swift,"A,B,D","Rapid, fast, and swift all mean quick.",demo,1
Logical Reasoning,Verbal Reasoning,Which word is the opposite of hot?,single,Warm,Cold,Bright,Dry,B,Cold is the antonym of hot.,assessment,1
Logical Reasoning,Verbal Reasoning,Which words are nouns?,multi,Teacher,City,Run,Honesty,"A,B,D","Teacher, city, and honesty name a person, place, or idea.",assessment,1
Logical Reasoning,Verbal Reasoning,Complete the analogy: bird is to fly as fish is to ____.,single,Walk,Swim,Climb,Read,B,Fish move through water by swimming.,assessment,1
Logical Reasoning,Verbal Reasoning,Which letters are vowels in English?,multi,A,E,I,B,"A,B,C","A, E, and I are vowels; B is a consonant.",assessment,1
Logical Reasoning,Verbal Reasoning,What is the plural of child?,single,Childs,Children,Childes,Childrens,B,The plural of child is children.,assessment,1
Logical Reasoning,Verbal Reasoning,Which words are adjectives?,multi,Blue,Tall,Quickly,Heavy,"A,B,D",Adjectives describe nouns; quickly is an adverb.,assessment,1
